PipeID,Age,Diameter,Depth,Slope,Length,Pipe_Type,Connection_Type,Pipe_Form,Material,Rainfall,Geology,Groundwater,Soil_Type,Landslide_Area,Population,Building_Area,Land_Cover,Distance_to_Road,Traffic_Volume,Condition_Classes
59707,52,200,-0.73,3.33,46.32,Wastewater,MUF,S,BET,127.08,Geology-0,16.75,SoilType-4,No,66,No,LandCover-2,RoadClass-0,0,0
41001,59,200,-1.58,11.38,23.36,Wastewater,MUF,S,PVC,109.49,Geology-2,15.53,SoilType-2,No,139,No,LandCover-1,RoadClass-0,0,0
164152,1,200,-2.02,-1.59,45.83,Stormwater,Others,S,PVC,144.65,Geology-2,23.33,SoilType-5,No,94,No,LandCover-1,RoadClass-0,0,0
66538,35,200,-2.03,4.69,33.43,Wastewater,Others,S,PVC,130.31,Geology-2,32.63,SoilType-5,No,130,No,LandCover-2,RoadClass-3,0,0
66840,36,200,-0.5,0.42,56.01,Combined,Others,S,PVC,125.98,Geology-2,40.14,SoilType-4,No,79,No,LandCover-2,RoadClass-2,0,0
84414,43,160,-1,0.77,25.48,Combined,Others,S,PVC,105.88,Geology-2,15.48,SoilType-2,No,376,No,LandCover-1,RoadClass-0,0,1
158252,3,250,-1.69,2.72,63.93,Stormwater,Others,S,PVC,148.97,Geology-0,2.83,SoilType-5,No,42,No,LandCover-2,RoadClass-0,0,0
147050,59,225,-3.86,6.57,60.18,Combined,MUF,S,BET,133.46,Geology-0,22.41,SoilType-5,No,121,No,LandCover-2,RoadClass-1,0,1
159004,0,200,-1.19,9.58,21.86,Wastewater,Others,S,PVC,122.56,Geology-2,17.78,SoilType-6,No,111,No,LandCover-2,RoadClass-2,0,0
164632,1,315,-2.31,4.33,48.92,Stormwater,Others,S,PVC,141.17,Geology-0,26.5,SoilType-5,No,64,No,LandCover-4,RoadClass-0,0,0
162156,16,500,-1.91,1.27,35.25,Stormwater,Others,Others,BET,115.76,Geology-2,15.59,SoilType-9,No,174,No,LandCover-2,RoadClass-3,0,0
164198,1,250,-2.01,3.71,70.18,Stormwater,Others,S,PVC,142.15,Geology-0,26.04,SoilType-9,No,64,No,LandCover-1,RoadClass-0,0,0
159674,1,160,-1.11,1.46,28.17,Wastewater,Others,S,PVC,149.52,Geology-2,2.34,SoilType-9,No,24,No,LandCover-2,RoadClass-3,0,0
153951,0,315,-1.99,3.68,11.08,Stormwater,Others,S,PPP,143.97,Geology-0,14.67,SoilType-9,No,178,No,LandCover-4,RoadClass-3,0,0
162241,1,200,-1.85,4.46,42.67,Wastewater,Others,S,PVC,132.75,Geology-2,19.23,SoilType-5,No,125,No,LandCover-1,RoadClass-0,0,0
5485,22,400,-1.04,5.13,10.02,Combined,MUF,S,Others,105.71,Geology-2,15.47,SoilType-2,No,60,Yes,LandCover-1,RoadClass-1,6300,1
27763,24,200,-0.94,2.42,26.07,Wastewater,Others,S,PVC,112.8,Geology-2,15.54,SoilType-0,No,330,No,LandCover-1,RoadClass-0,0,0
56026,39,150,-2.37,0.63,44.25,Wastewater,MUF,S,BET,133.67,Geology-0,24.65,SoilType-4,No,93,No,LandCover-2,RoadClass-2,0,1
14043,40,630,-2.07,1.39,30.3,Combined,Others,S,PVC,103.17,Geology-2,15.47,SoilType-2,No,85,No,LandCover-1,RoadClass-0,0,1
64912,37,200,-0.51,3.86,36.05,Wastewater,MUF,S,BET,134.02,Geology-0,21.45,SoilType-5,No,121,No,LandCover-2,RoadClass-0,0,0
67789,0,600,-2.09,1.19,66.92,Stormwater,IM,S,Others,143.92,Geology-0,16.21,SoilType-7,No,55,No,LandCover-1,RoadClass-4,0,0
58842,42,225,-1.71,0.08,36.7,Combined,MUF,S,BET,124.9,Geology-2,16.1,SoilType-6,No,171,No,LandCover-4,RoadClass-0,0,1
134191,12,200,-1.07,0.25,51.67,Wastewater,Others,S,PVC,110.3,Geology-2,15.53,SoilType-2,No,342,No,LandCover-1,RoadClass-0,0,0
158328,1,250,-1.86,1.53,61.04,Stormwater,Others,S,PVC,149.15,Geology-0,2.72,SoilType-9,No,118,No,LandCover-2,RoadClass-0,0,0
159283,1,200,-1.86,2.24,78,Wastewater,Others,S,PVC,141.15,Geology-0,25.98,SoilType-5,No,190,No,LandCover-1,RoadClass-0,0,0
66536,62,150,-0.89,0.66,26.01,Wastewater,MUF,S,BET,130.23,Geology-2,32.65,SoilType-5,No,130,No,LandCover-2,RoadClass-1,4200,1
67461,47,300,-0.8,2.42,53.06,Wastewater,MUF,S,BET,145.53,Geology-0,13.85,SoilType-9,No,129,No,LandCover-1,RoadClass-1,0,0
62042,51,150,-1.48,2.88,43.28,Stormwater,MUF,S,PVC,131.47,Geology-0,20.1,SoilType-5,No,270,No,LandCover-1,RoadClass-1,16120,1
58221,1,160,-0.54,0.54,7.11,Wastewater,Others,S,PVC,122.76,Geology-2,15.95,SoilType-9,No,0,No,LandCover-2,RoadClass-3,0,0
172082,49,225,-1.98,0,44.65,Combined,Others,S,BET,135.09,Geology-2,19.03,SoilType-5,No,149,No,LandCover-1,RoadClass-0,14590,0
65596,22,225,-0.69,1.41,60.67,Combined,MUF,S,BET,135.83,Geology-2,15.63,SoilType-5,No,251,No,LandCover-4,RoadClass-0,6800,1
24455,68,300,-1.81,1.77,13.21,Combined,MUF,S,BET,117.63,Geology-2,15.57,SoilType-9,No,230,No,LandCover-2,RoadClass-2,0,0
112096,10,200,-1.81,-0.03,25.36,Combined,Others,S,PVC,140.63,Geology-0,24.76,SoilType-4,No,167,No,LandCover-4,RoadClass-2,0,1
56680,35,300,-1.58,-2.01,40.2,Stormwater,MUF,S,BET,138.28,Geology-0,25.87,SoilType-5,No,180,No,LandCover-1,RoadClass-0,0,0
161397,56,150,-1.15,0.56,70.2,Stormwater,Others,S,BET,124.6,Geology-2,16.25,SoilType-4,No,106,No,LandCover-2,RoadClass-0,8700,0
