PipeID,Age,Diameter,Depth,Slope,Length,Pipe_type,Connection,Pipe_form,Material,Rainfall,Geology,GroundWater Level,Soil_type,Landslide_area,Population,Building_area,Land_cover,Distance_to_road,TrafficVol
76,54,200,-2.09,2.24,14.47,Wastewater,MUF,S,BET,128.42,Geology-0,24.69,SoilType-3,No,1,No,LandCover-4,RoadClass-0,0
77,54,160,-2.03,35.94,12.16,Wastewater,Others,S,PVC,128.63,Geology-0,24.78,SoilType-3,No,1,No,LandCover-2,RoadClass-2,0
79,54,150,-1.06,0.65,19.48,Wastewater,MUF,S,BET,127.44,Geology-0,24.4,SoilType-3,No,150,No,LandCover-2,RoadClass-2,0
82,54,160,-1.45,39.19,11.41,Stormwater,Others,S,PVC,128.52,Geology-0,24.74,SoilType-3,No,1,No,LandCover-2,RoadClass-2,0
84,54,150,-1.16,0.96,20.75,Stormwater,MUF,S,BET,127.44,Geology-0,24.4,SoilType-3,No,150,No,LandCover-2,RoadClass-2,0
86,54,200,-2.04,4.48,16.1,Stormwater,MUF,S,BET,128.42,Geology-0,24.69,SoilType-3,No,1,No,LandCover-4,RoadClass-0,0
87,54,160,-2.52,0.08,37.69,Wastewater,Others,S,PVC,128.83,Geology-0,24.84,SoilType-3,No,1,No,LandCover-2,RoadClass-1,0
88,54,150,-1.6,3.28,4.8,Wastewater,MUF,S,BET,129.11,Geology-0,24.93,SoilType-3,No,1,No,LandCover-2,RoadClass-0,0
89,54,150,-1.13,2.27,14.67,Wastewater,MUF,S,BET,128.99,Geology-0,24.87,SoilType-3,No,1,No,LandCover-2,RoadClass-1,0
90,50,200,-2.66,1.97,41.12,Wastewater,MUF,S,BET,125.11,Geology-0,23.56,SoilType-3,No,239,No,LandCover-4,RoadClass-1,0
91,50,200,-2.79,1.42,27.6,Wastewater,MUF,S,BET,124.73,Geology-0,23.46,SoilType-3,No,239,No,LandCover-4,RoadClass-1,0
92,50,150,-3.07,5.77,27.86,Wastewater,MUF,S,BET,124.56,Geology-0,23.44,SoilType-3,No,150,No,LandCover-2,RoadClass-3,0
94,74,200,-0.4,0.71,37.93,Wastewater,MUF,S,BET,125.22,Geology-0,23.71,SoilType-3,No,150,No,LandCover-2,RoadClass-1,22800
95,74,200,-1.21,1.16,70.61,Wastewater,MUF,S,BET,126.7,Geology-0,24.18,SoilType-2,No,150,No,LandCover-4,RoadClass-0,22800
