PipeID,Age,Diameter,Depth,Slope,Length,Pipe_type,Connection,Pipe_form,Material,Rainfall,Geology,GroundWater Level,Soil_type,Landslide_area,Population,Building_area,Land_cover,Distance_to_road,TrafficVol,Score
165719,1,200,-0.17,-0.97,38.28,Stormwater,Others,S,PVC,139.95,Geology-3,6.19,SoilType-6,No,81,No,LandCover-1,RoadClass-2,0,91
159672,1,160,-0.2,0.62,41.17,Wastewater,Others,S,PVC,149.57,Geology-2,2.6,SoilType-9,No,24,No,LandCover-2,RoadClass-3,0,0
63977,1,250,-0.26,5.26,36.94,Stormwater,MUF,S,Others,131.85,Geology-2,20.65,SoilType-6,No,75,No,LandCover-3,RoadClass-2,0,8
63992,1,200,-0.45,2.39,28.36,Stormwater,MUF,S,Others,131.7,Geology-2,20.63,SoilType-6,No,75,No,LandCover-3,RoadClass-3,0,0
159670,1,160,-0.62,0.71,29.42,Wastewater,Others,S,PVC,149.57,Geology-0,2.9,SoilType-9,No,24,No,LandCover-2,RoadClass-3,0,0
159901,1,160,-0.63,7.4,45.1,Wastewater,Others,S,PVC,122.52,Geology-2,15.46,SoilType-2,No,91,No,LandCover-1,RoadClass-0,0,0
158726,1,200,-0.72,4.19,25.38,Wastewater,Others,S,PVC,122.5,Geology-2,15.68,SoilType-6,No,111,No,LandCover-2,RoadClass-0,0,0
165516,1,160,-0.73,3.05,54.18,Wastewater,Others,S,PVC,126.86,Geology-2,16.13,SoilType-5,No,14,No,LandCover-4,RoadClass-1,0,0
159903,1,250,-0.76,7.45,47.58,Stormwater,Others,S,PVC,122.52,Geology-2,15.46,SoilType-2,No,91,No,LandCover-1,RoadClass-0,0,0
165734,1,160,-0.77,-6.87,33.78,Wastewater,Others,S,PVC,118.72,Geology-2,15.57,SoilType-9,No,230,No,LandCover-2,RoadClass-3,0,0
165733,1,200,-0.83,-7.29,34.76,Stormwater,Others,S,PVC,118.72,Geology-2,15.57,SoilType-9,No,230,No,LandCover-2,RoadClass-3,0,0
161986,1,315,-0.84,3.28,68.93,Stormwater,Others,S,PVC,103.85,Geology-2,15.46,SoilType-2,No,85,No,LandCover-1,RoadClass-0,0,0
164734,1,200,-0.85,0.59,23.89,Wastewater,Others,S,PPP,148.04,Geology-0,9.3,SoilType-7,No,0,No,LandCover-2,RoadClass-0,0,0
9548,1,400,-0.92,6.17,15.89,Combined,MUF,S,Others,105.65,Geology-2,15.47,SoilType-2,No,60,Yes,LandCover-1,RoadClass-2,0,634
165518,1,160,-0.98,0.76,54.28,Wastewater,Others,S,PVC,126.76,Geology-2,16.12,SoilType-5,No,108,No,LandCover-1,RoadClass-2,0,0
164460,1,200,-0.98,-6.28,6.08,Stormwater,Others,S,PVC,143.37,Geology-2,23.31,SoilType-5,No,94,No,LandCover-2,RoadClass-0,0,0
161985,1,250,-0.99,4.14,67.74,Combined,Others,S,PVC,103.85,Geology-2,15.46,SoilType-2,No,85,No,LandCover-1,RoadClass-0,0,0
5485,1,400,-1.04,5.13,10.02,Combined,MUF,S,Others,105.71,Geology-2,15.47,SoilType-2,No,60,Yes,LandCover-1,RoadClass-1,6300,337
163044,1,400,-1.05,3.64,53.96,Stormwater,Others,S,PPP,142.55,Geology-2,24.3,SoilType-5,No,94,No,LandCover-4,RoadClass-4,0,0
165509,1,160,-1.06,8.55,31.45,Wastewater,Others,S,PVC,118.07,Geology-2,15.57,SoilType-9,No,303,No,LandCover-2,RoadClass-0,0,0
61404,1,250,-1.1,23.35,22.84,Stormwater,MUF,S,Others,130.92,Geology-2,20.09,SoilType-6,No,104,No,LandCover-2,RoadClass-2,0,17
159674,1,160,-1.11,1.46,28.17,Wastewater,Others,S,PVC,149.52,Geology-2,2.34,SoilType-9,No,24,No,LandCover-2,RoadClass-3,0,0
169590,1,160,-1.11,2.73,47.12,Wastewater,Others,S,PVC,103.36,Geology-2,15.45,SoilType-2,No,320,No,LandCover-1,RoadClass-0,0,0
151571,1,200,-1.14,0.62,43.39,Wastewater,Others,S,PVC,116.92,Geology-2,15.56,SoilType-9,No,37,No,LandCover-1,RoadClass-0,5100,0
163695,1,315,-1.14,0.89,52.93,Wastewater,Others,S,PVC,118.39,Geology-0,15.58,SoilType-9,No,129,No,LandCover-2,RoadClass-0,5100,0
5589,1,400,-1.15,1.35,7.25,Combined,MUF,S,Others,105.62,Geology-2,15.47,SoilType-2,No,60,No,LandCover-1,RoadClass-0,6300,541
163696,1,315,-1.16,-0.97,50.88,Stormwater,Others,S,PPP,118.39,Geology-0,15.58,SoilType-9,No,129,No,LandCover-2,RoadClass-0,5100,0
169301,1,200,-1.16,8.71,4.42,Wastewater,Others,S,PVC,104.31,Geology-2,15.45,SoilType-2,No,320,No,LandCover-1,RoadClass-0,0,0
164459,1,200,-1.21,14.02,3.55,Wastewater,Others,S,PVC,143.37,Geology-2,23.38,SoilType-5,No,94,No,LandCover-2,RoadClass-0,0,0
163489,1,315,-1.22,-0.4,66.24,Stormwater,Others,S,PPP,117.85,Geology-2,15.58,SoilType-9,No,230,No,LandCover-2,RoadClass-0,5100,0
169351,1,160,-1.22,-3.59,5.6,Wastewater,Others,S,PVC,108.89,Geology-2,15.52,SoilType-2,No,139,No,LandCover-1,RoadClass-0,0,0
161465,1,315,-1.24,0.62,57.96,Stormwater,Others,S,PVC,105.31,Geology-2,15.46,SoilType-2,No,320,No,LandCover-2,RoadClass-0,0,0
159108,1,200,-1.25,2.64,35.26,Stormwater,Others,S,PVC,149.33,Geology-0,2.6,SoilType-9,No,118,No,LandCover-2,RoadClass-0,0,0
