MLP_R2,MLP_MAE,MLP_MAPE,MLP_RMSE,MLP_RAE,MLP_RRSE,CNN_R2,CNN_MAE,CNN_MAPE,CNN_RMSE,CNN_RAE,CNN_RRSE,LSTM_R2,LSTM_MAE,LSTM_MAPE,LSTM_RMSE,LSTM_RAE,LSTM_RRSE
0.942,2.156,4.515,1.677,3.603,3.81,0.751,2.357,1.498,4.186,2.882,2.166,0.845,4.506,2.723,1.576,2.836,2.896
0.859,1.157,3.179,2.92,4.06,1.495,0.888,1.2,4.769,2.909,4.462,1.448,0.751,1.727,1.438,4.94,3.785,2.905
0.833,1.536,4.734,1.64,3.988,3.957,0.835,4.164,4.031,4.791,1.371,3.253,0.772,1.514,3.799,4.479,2.703,2.871
0.724,2.874,2.217,2.962,3.369,2.83,0.918,1.116,4.098,2.879,2.012,3.103,0.848,1.189,2.354,1.492,1.701,4.785
0.781,2.239,2.805,4.076,2.048,1.968,0.929,1.522,4.388,3.812,4.48,1.282,0.864,1.25,1.548,1.583,3.218,1.846
0.76,4.403,2.332,3.487,4.606,2.726,0.919,3.442,1.136,1.134,1.669,2.371,0.847,3.838,3.406,4.605,4.513,1.423
0.726,1.888,4.595,4.097,1.202,3.343,0.938,1.817,4.225,2.973,4.186,4.565,0.857,4.897,1.533,1.645,3.013,2.558
0.833,2.297,4.875,1.492,2.057,3.844,0.934,3.904,3.793,3.127,1.773,4.997,0.833,1.032,4.655,1.102,2.453,2.78
0.945,1.071,2.365,2.089,3.351,3.665,0.887,3.117,4.006,1.082,2.881,1.257,0.906,2.538,3.859,3.62,2.697,1.999
0.711,2.684,2.976,4.239,3.266,3.935,0.78,1.074,3.364,2.545,3.398,3.481,0.851,4.166,1.738,3.608,3.622,4.51
