- ,ATOPSIS_input,:
  + R2:
MLP_R2,CNN_R2,LSTM_R2
0.942,0.751,0.845
0.859,0.888,0.751
0.833,0.835,0.772
0.724,0.918,0.848
0.781,0.929,0.864
0.76,0.919,0.847
0.726,0.938,0.857
0.833,0.934,0.833
0.945,0.887,0.906
0.711,0.78,0.851
  + MAE:
MLP_MAE,CNN_MAE,LSTM_MAE
2.156,2.357,4.506
1.157,1.2,1.727
1.536,4.164,1.514
2.874,1.116,1.189
2.239,1.522,1.25
4.403,3.442,3.838
1.888,1.817,4.897
2.297,3.904,1.032
1.071,3.117,2.538
2.684,1.074,4.166
  + MAPE:
MLP_MAPE,CNN_MAPE,LSTM_MAPE
4.515,1.498,2.723
3.179,4.769,1.438
4.734,4.031,3.799
2.217,4.098,2.354
2.805,4.388,1.548
2.332,1.136,3.406
4.595,4.225,1.533
4.875,3.793,4.655
2.365,4.006,3.859
2.976,3.364,1.738
  + RMSE:
MLP_RMSE,CNN_RMSE,LSTM_RMSE
1.677,4.186,1.576
2.92,2.909,4.94
1.64,4.791,4.479
2.962,2.879,1.492
4.076,3.812,1.583
3.487,1.134,4.605
4.097,2.973,1.645
1.492,3.127,1.102
2.089,1.082,3.62
4.239,2.545,3.608
  + RAE:
MLP_RAE,CNN_RAE,LSTM_RAE
3.603,2.882,2.836
4.06,4.462,3.785
3.988,1.371,2.703
3.369,2.012,1.701
2.048,4.48,3.218
4.606,1.669,4.513
1.202,4.186,3.013
2.057,1.773,2.453
3.351,2.881,2.697
3.266,3.398,3.622
  + RRSE:
MLP_RRSE,CNN_RRSE,LSTM_RRSE
3.81,2.166,2.896
1.495,1.448,2.905
3.957,3.253,2.871
2.83,3.103,4.785
1.968,1.282,1.846
2.726,2.371,1.423
3.343,4.565,2.558
3.844,4.997,2.78
3.665,1.257,1.999
3.935,3.481,4.51


